country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM",08-04-2025 15:00,23.076793,72.627874,CO,10,103,16
India,Gujarat,Ahmedabad,"Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM",08-04-2025 15:00,23.04307,72.562968,SO2,9,56,30
India,Gujarat,Ahmedabad,"Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM",08-04-2025 15:00,23.04307,72.562968,OZONE,5,72,52
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM",08-04-2025 15:00,23.041137,72.456691,SO2,1,2,1
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM",08-04-2025 15:00,23.023389,72.515201,PM2.5,82,261,154
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM",08-04-2025 15:00,23.023389,72.515201,SO2,4,70,31
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB",08-04-2025 15:00,23.221714,72.654328,CO,6,106,10
India,Gujarat,Nandesari,"GIDC, Nandesari - Nandesari Ind. Association",08-04-2025 15:00,22.410802,73.097923,PM2.5,NA,NA,NA
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB",08-04-2025 15:00,22.969611,72.6435,PM2.5,31,289,103
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM",08-04-2025 15:00,23.016834,72.625775,NH3,6,14,8
India,Gujarat,Surat,"Science Center, Surat - SMC",08-04-2025 15:00,21.170046,72.795405,NO2,NA,NA,NA
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM",08-04-2025 15:00,28.3153,76.9143,NO2,33,76,59
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM",08-04-2025 15:00,28.3153,76.9143,SO2,13,40,26
India,Himachal Pradesh,Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB",08-04-2025 15:00,30.943887,76.801991,NO2,8,55,22
India,Himachal Pradesh,Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB",08-04-2025 15:00,30.943887,76.801991,OZONE,84,189,159
India,Jharkhand,Dhanbad,"Sardar Patel Nagar, Dhanbad - JSPCB",08-04-2025 15:00,23.80569,86.44268,OZONE,16,58,26
India,Karnataka,Bagalkot,"Vidayagiri, Bagalkot - KSPCB",08-04-2025 15:00,16.172806,75.659694,PM10,45,46,46
India,Karnataka,Belgaum,"Ramteerth Nagar, Belgaum - KSPCB",08-04-2025 15:00,15.888653,74.541751,PM10,NA,NA,NA
India,Karnataka,Belgaum,"Ramteerth Nagar, Belgaum - KSPCB",08-04-2025 15:00,15.888653,74.541751,OZONE,19,20,19
India,Karnataka,Bengaluru,"Shivapura_Peenya, Bengaluru - KSPCB",08-04-2025 15:00,13.0246342,77.5080115,OZONE,19,21,19
India,Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB",08-04-2025 15:00,12.917348,77.622813,PM2.5,NA,NA,NA
India,Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB",08-04-2025 15:00,12.917348,77.622813,SO2,NA,NA,NA
India,Karnataka,Bidar,"Naubad, Bidar - KSPCB",08-04-2025 15:00,17.930306,77.482194,NO2,NA,NA,NA
India,Karnataka,Bengaluru,"Jigani, Bengaluru - KSPCB",08-04-2025 15:00,12.7816279,77.6299145,PM10,NA,NA,NA
India,Karnataka,Bengaluru,"Kasturi Nagar, Bengaluru - KSPCB",08-04-2025 15:00,13.003872,77.664217,NO2,17,23,22
